"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2735,211,"KOR","South Korea",1,"Busan","<U+BD80><U+C0B0><U+AD11><U+C5ED><U+C2DC> | <U+91DC><U+5C71><U+5EE3><U+57DF><U+5E02>","Pusan|Busan Gwang'yeogsi|Pusan-gwangyoksi|Fusan","Gwangyeoksi","Metropolitan City"
2736,211,"KOR","South Korea",2,"Chungcheongbuk-do","<U+CDA9><U+CCAD><U+BD81><U+B3C4> | <U+5FE0><U+6DF8><U+5317><U+9053>","Chungchongbuk-Do|Chungcheongbugdo|Ch'ungch'ong-bukto|Chusei Hoku-do|North Chungchong|Ch'ungch'ong-bukto","Do","Province"
2737,211,"KOR","South Korea",3,"Chungcheongnam-do","<U+CDA9><U+CCAD><U+B0A8><U+B3C4> | <U+5FE0><U+6DF8><U+5357><U+9053>","Chungchongnam-Do|Ch'ungch'ong-namdo|Chusei Nan-do|South Chungchong|Ch'ungch'ong-namdo","Do","Province"
2738,211,"KOR","South Korea",4,"Daegu","<U+B300><U+AD6C><U+AD11><U+C5ED><U+C2DC> | <U+5927><U+90B1><U+5EE3><U+57DF><U+5E02>","Taegu|Daegu Gwang'yeogsi|Taegu-gwangyoksi|Taikyu","Gwangyeoksi","Metropolitan City"
2739,211,"KOR","South Korea",5,"Daejeon","<U+B300><U+AD6C><U+AD11><U+C5ED><U+C2DC> | <U+5927><U+90B1><U+5EE3><U+57DF><U+5E02>","Daejeon Gwang'yeogsi|Taejon-gwangyoksi|Taiden","Gwangyeoksi ","Metropolitan City "
2740,211,"KOR","South Korea",6,"Gangwon-do","<U+AC15><U+C6D0><U+B3C4> | <U+6C5F><U+539F><U+9053>","Kang-Won-Do|Gang'weondo|Kangwon-do|Kogen-do|South Kangwon","Do","Province"
2741,211,"KOR","South Korea",7,"Gwangju","<U+AD11><U+C8FC><U+AD11><U+C5ED><U+C2DC> | <U+5149><U+5DDE><U+5EE3><U+57DF><U+5E02>","Kwangju|Kwangju-gwangyoksi","Gwangyeoksi","Metropolitan City"
2742,211,"KOR","South Korea",8,"Gyeonggi-do","<U+ACBD><U+AE30><U+B3C4> | <U+4EAC><U+757F><U+9053>","Kyonggi-do|Keiki-do|Kyunggi","Do","Province"
2743,211,"KOR","South Korea",9,"Gyeongsangbuk-do","<U+ACBD><U+C0C1><U+BD81><U+B3C4> | <U+6176><U+5C19><U+5317><U+9053>","Kyongsangbuk-Do|Gyeongsangbugdo|Kyongsang-bukto|Keisho Hoku-do|North Kyongsang","Do","Province"
2744,211,"KOR","South Korea",10,"Gyeongsangnam-do","<U+ACBD><U+C0C1><U+B0A8><U+B3C4> | <U+6176><U+5C19><U+5357><U+9053>","Kyongsangnam-Do|Kyongsang-namdo|Keisho Nan-do|South Kyongsang","Do","Province"
2745,211,"KOR","South Korea",11,"Incheon","<U+C778><U+CC9C><U+AD11><U+C5ED><U+C2DC> | <U+4EC1><U+5DDD><U+5EE3><U+57DF><U+5E02>","Inchon|IInch'on-gwangyoksi|Jinsen","Gwangyeoksi","Metropolitan City"
2746,211,"KOR","South Korea",12,"Jeju","<U+C81C><U+C8FC><U+D2B9><U+BCC4><U+C790><U+CE58><U+B3C4> | <U+6FDF><U+5DDE><U+7279><U+5225><U+81EA><U+6CBB><U+9053>","Jeju-doQuelpart|Saishu-to|Cheju-do","Do","Province"
2747,211,"KOR","South Korea",13,"Jeollabuk-do","<U+C804><U+B77C><U+BD81><U+B3C4> | <U+5168><U+7F85><U+5317><U+9053>","Chollabuk-Do|Cholla-bukto|Jeonrabugdo|North Cholla|Zenra Hoku-do","Do","Province"
2748,211,"KOR","South Korea",14,"Jeollanam-do","<U+C804><U+B77C><U+B0A8><U+B3C4> | <U+5168><U+7F85><U+5357><U+9053>","Chollanam-Do|Cholla-namdo|Jeonranamdo|South Cholla|Zenra Nan-do","Do","Province"
2749,211,"KOR","South Korea",15,"Seoul","<U+C11C><U+C6B8><U+D2B9><U+BCC4><U+C2DC>","Keijo|Séoul|Seul|Seúl|Söul|Soul-t'ukpyolsi","Teukbyeolsi","Capital Metropolitan City"
2750,211,"KOR","South Korea",16,"Ulsan","<U+C6B8><U+C0B0><U+AD11><U+C5ED><U+C2DC> | <U+851A><U+5C71><U+5EE3><U+57DF><U+5E02>","Ulsan-gwangyoksi","Metropolitan City","Metropolitan City"
