국회의원지역선거구구역표 (지역구 : 246)
선거구명 	선 거 구 역 
서울특별시(지역구 : 48) 
종로구선거구	종로구 일원 
중구선거구	중구 일원 
용산구선거구	용산구 일원 
성동구갑선거구	응봉동, 금호1가동, 금호2·3가동, 금호4가동, 옥수동, 성수1가제1동, 성수1가제2동, 성수2가제1동, 성수2가제3동 
성동구을선거구	왕십리도선동, 왕십리제2동, 마장동, 사근동, 행당제1동, 행당제2동, 송정동, 용답동 
광진구갑선거구	중곡제1동, 중곡제2동, 중곡제3동, 중곡제4동, 능동, 구의제2동, 광장동, 군자동 
광진구을선거구	구의제1동, 구의제3동, 자양제1동, 자양제2동, 자양제3동, 자양제4동, 화양동 
동대문구갑선거구	용신동, 제기동, 청량리동, 회기동, 휘경제1동, 휘경제2동, 이문제1동, 이문제2동 
동대문구을선거구	전농제1동, 전농제2동, 답십리제1동, 답십리제2동, 장안제1동, 장안제2동 
중랑구갑선거구	면목본동, 면목제2동, 면목제3·8동, 면목제4동, 면목제5동, 면목제7동, 상봉제2동, 망우제3동 
중랑구을선거구	상봉제1동, 중화제1동, 중화제2동, 묵제1동, 묵제2동, 망우본동, 신내제1동, 신내제2동 
성북구갑선거구	성북동, 삼선동, 동선동, 돈암제2동, 안암동, 보문동, 정릉제1동, 정릉제2동, 정릉제3동, 정릉제4동, 길음제1동 
성북구을선거구	돈암제1동, 길음제2동, 종암동, 월곡제1동, 월곡제2동, 장위제1동, 장위제2동, 장위제3동, 석관동 
강북구갑선거구	번제1동, 번제2동, 수유제1동, 수유제2동, 수유제3동, 우이동, 인수동 
강북구을선거구	삼양동, 미아동, 송중동, 송천동, 삼각산동, 번제3동 
도봉구갑선거구	쌍문1동, 쌍문3동, 창1동, 창2동, 창3동, 창4동, 창5동 
도봉구을선거구	쌍문2동, 쌍문4동, 방학1동, 방학2동, 방학3동, 도봉1동, 도봉2동 
노원구갑선거구	월계1동, 월계2동, 월계3동, 공릉1동, 공릉2동 
노원구을선거구	하계1동, 하계2동, 중계본동, 중계1동, 중계2·3동, 중계4동, 상계6·7동 
노원구병선거구	상계1동, 상계2동, 상계3·4동, 상계5동, 상계8동, 상계9동, 상계10동 
은평구갑선거구	녹번동, 응암제1동, 응암제2동, 응암제3동, 신사제1동, 신사제2동, 증산동, 수색동 
은평구을선거구	불광제1동, 불광제2동, 갈현제1동, 갈현제2동, 구산동, 대조동, 역촌동, 진관동 
서대문구갑선거구	충현동, 천연동, 북아현동, 신촌동, 연희동, 홍제제1동, 홍제제2동 
서대문구을선거구	홍제제3동, 홍은제1동, 홍은제2동, 남가좌제1동, 남가좌제2동, 북가좌제1동, 북가좌제2동 
마포구갑선거구	공덕동, 아현동, 도화동, 용강동, 대흥동, 염리동, 신수동 
마포구을선거구	서강동, 서교동, 합정동, 망원1동, 망원2동, 연남동, 성산1동, 성산2동, 상암동 
